location,iso_code,vaccines,last_observation_date,source_name,source_website
San Marino,SMR,"Pfizer/BioNTech, Sputnik V",2021-06-10,Social Security Institute,https://vaccinocovid.iss.sm/
Sao Tome and Principe,STP,Oxford/AstraZeneca,2021-06-10,World Health Organization,https://covid19.who.int/
Saudi Arabia,SAU,"Oxford/AstraZeneca, Pfizer/BioNTech",2021-06-11,Saudi Health Council,https://covid19.moh.gov.sa/
Scotland,OWID_SCT,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",2021-06-10,Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
Senegal,SEN,"Oxford/AstraZeneca, Sinopharm/Beijing",2021-06-10,World Health Organization,https://covid19.who.int/
Serbia,SRB,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",2021-06-09,Government of Serbia,https://www.rts.rs/page/stories/ci/%D0%9A%D0%BE%D1%80%D0%BE%D0%BD%D0%B0%D0%B2%D0%B8%D1%80%D1%83%D1%81/story/3131/koronavirus-u-srbiji/4405495/koronavirus-srbija-broj-zarazenih-preminulih-9-jun-2021.html
Seychelles,SYC,"Oxford/AstraZeneca, Sinopharm/Beijing",2021-06-10,Extended Programme for Immunisation,https://www.youtube.com/watch?v=bxct_pI5iGA&ab_channel=SBC
Sierra Leone,SLE,"Oxford/AstraZeneca, Sinopharm/Beijing",2021-06-10,World Health Organization,https://covid19.who.int/
Singapore,SGP,"Moderna, Pfizer/BioNTech",2021-06-07,Ministry of Health,https://www.moh.gov.sg/covid-19
Sint Maarten (Dutch part),SXM,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",2021-06-04,World Health Organization,https://covid19.who.int/
Slovakia,SVK,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",2021-06-10,Ministry of Health,https://github.com/Institut-Zdravotnych-Analyz/covid19-data
Slovenia,SVN,"Oxford/AstraZeneca, Pfizer/BioNTech",2021-06-11,National Institute of Public Health via covid-19.sledilnik.org,https://covid-19.sledilnik.org/en/stats
Solomon Islands,SLB,Oxford/AstraZeneca,2021-06-08,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
Somalia,SOM,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac",2021-06-09,World Health Organization,https://covid19.who.int/
South Africa,ZAF,"Johnson&Johnson, Pfizer/BioNTech",2021-06-11,Ministry of Health,https://sacoronavirus.co.za/
South Korea,KOR,"Oxford/AstraZeneca, Pfizer/BioNTech",2021-06-11,Korea Centers for Disease Control and Prevention,http://ncv.kdca.go.kr/
South Sudan,SSD,Oxford/AstraZeneca,2021-06-08,World Health Organization,https://covid19.who.int/
Spain,ESP,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",2021-06-10,Ministry of Health,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210611.ods
Sri Lanka,LKA,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",2021-06-11,Ministry of Health's Epidemiology Unit,https://www.epid.gov.lk/web/images/pdf/corona_virus_report/sitrep-sl-en-11-06_10_21.pdf
Sudan,SDN,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",2021-06-08,World Health Organization,https://covid19.who.int/
Suriname,SUR,Oxford/AstraZeneca,2021-06-09,Government of Suriname,https://laatjevaccineren.sr/
Sweden,SWE,"Oxford/AstraZeneca, Pfizer/BioNTech",2021-06-11,Public Health Agency of Sweden,https://www.folkhalsomyndigheten.se/smittskydd-beredskap/utbrott/aktuella-utbrott/covid-19/vaccination-mot-covid-19/statistik/statistik-over-registrerade-vaccinationer-covid-19/
